Day,Date,Start_Time,End_Time,Group,Module_POI,Lesson_Activity,Description,Task_ Notes,Resources,Trainers,Uniform,Hours,Type
1,,8:15,8:30,3B-352S-22-005,Module B,52S1B01INTRO,Group Resume Activity,,Rowe Rm 150B,CW3 Kopas,OCP,0.15,PPN
1,,8:30,10:00,3B-352S-22-005,Module B,52S1B01LSA01,Integrate into a New Unit/Class,,Rowe Rm 150B,CW3 Kopas,OCP,1.30,DSL
1,,10:00,11:00,3B-352S-22-005,Module B,52S1B01LSA02,Describe SIGINT Intelligence Oversight,,Rowe Rm 150B,CW3 Kopas,OCP,1.00,DSL
1,,11:00,12:30,3B-352S-22-005,Module B,52S1B01LSA06,Discuss Military Briefing for SIGINT Operations,,Rowe Rm 150B,CW3 Kopas,OCP,1.30,DSL
1,,12:30,13:30,3B-352S-22-005,Admin,Lunch,,,,,,1.00,
1,,13:30,17:30,3B-352S-22-005,Module B,52S1B01LSA07,Prepare a Gaining Unit Information Brief,Assign Task,Rowe Rm 150B,CW3 Kopas,OCP,4.00,IN
2,,8:30,12:30,3B-352S-22-005,Module B,52S1B01LSA07,Prepare a Gaining Unit Information Brief,,Rowe Rm 150B,CW3 Kopas,OCP,4.00,IN
2,,12:30,13:30,3B-352S-22-005,Admin,Lunch,,,,,,1.00,
2,,13:30,17:30,3B-352S-22-005,Module B,52S1B01LSA07,Prepare a Gaining Unit Information Brief,,Rowe Rm 150B,CW3 Kopas,OCP,4.00,IN
3,,8:30,9:30,3B-352S-22-005,Module B,52S1B01LSA07,Prepare a Gaining Unit Information Brief,,Rowe Rm 150B,CW3 Kopas,OCP,1.00,IN
3,,9:30,10:30,3B-352S-22-005,Module B,52S1B01LSA08,Deliver a Gaining Unit Information Brief,,Rowe Rm 150B,CW3 Kopas,OCP,1.00,PE
3,,10:30,12:30,3B-352S-22-005,Module B,52S1B01LSA03,Describe Staff Operations,,Rowe Rm 150B,CW3 Kopas,OCP,2.00,DSL
3,,12:30,13:30,3B-352S-22-005,Admin,Lunch,,,,,,1.00,
3,,13:30,15:30,3B-352S-22-005,Module B,52S1B01LSA04,Discuss Military Writing in Staff Documents,,Rowe Rm 150B,CW3 Kopas,OCP,2.00,DSL
3,,15:30,16:00,3B-352S-22-005,Module B,52S1B01LSA05,Practical Exercise - Write a Signal Survey Team Mission Statement,,Rowe Rm 150B,CW3 Kopas,OCP,0.30,PE
3,,16:00,17:00,3B-352S-22-005,Module B,52S1B01LSA10,Describe the USSID Process,,Rowe Rm 150B,CW3 Kopas,OCP,1.00,DSL
