Day,Date,Start_Time,End_Time,Group,Module_POI,Lesson_Activity,Description,Task_ Notes,Resources,Trainers,Uniform,Hours,Type
1,,0.34375,0.354166667,3B-352S-22-005,Module B,52S1B01INTRO,Group Resume Activity,,Rowe Rm 150B,CW3 Kopas,OCP,0.010416667,PPN
1,,0.354166667,0.416666667,3B-352S-22-005,Module B,52S1B01LSA01,Integrate into a New Unit/Class,,Rowe Rm 150B,CW3 Kopas,OCP,0.0625,DSL
1,,0.416666667,0.458333333,3B-352S-22-005,Module B,52S1B01LSA02,Describe SIGINT Intelligence Oversight,,Rowe Rm 150B,CW3 Kopas,OCP,0.041666667,DSL
1,,0.458333333,0.520833333,3B-352S-22-005,Module B,52S1B01LSA06,Discuss Military Briefing for SIGINT Operations,,Rowe Rm 150B,CW3 Kopas,OCP,0.0625,DSL
1,,0.520833333,0.5625,3B-352S-22-005,Admin,Lunch,,,,,,0.041666667,
1,,0.5625,0.729166667,3B-352S-22-005,Module B,52S1B01LSA07,Prepare a Gaining Unit Information Brief,Assign Task,Rowe Rm 150B,CW3 Kopas,OCP,0.166666667,IN
2,,0.354166667,0.520833333,3B-352S-22-005,Module B,52S1B01LSA07,Prepare a Gaining Unit Information Brief,,Rowe Rm 150B,CW3 Kopas,OCP,0.166666667,IN
2,,0.520833333,0.5625,3B-352S-22-005,Admin,Lunch,,,,,,0.041666667,
2,,0.5625,0.729166667,3B-352S-22-005,Module B,52S1B01LSA07,Prepare a Gaining Unit Information Brief,,Rowe Rm 150B,CW3 Kopas,OCP,0.166666667,IN
3,,0.354166667,0.395833333,3B-352S-22-005,Module B,52S1B01LSA07,Prepare a Gaining Unit Information Brief,,Rowe Rm 150B,CW3 Kopas,OCP,0.041666667,IN
3,,0.395833333,0.4375,3B-352S-22-005,Module B,52S1B01LSA08,Deliver a Gaining Unit Information Brief,,Rowe Rm 150B,CW3 Kopas,OCP,0.041666667,PE
3,,0.4375,0.520833333,3B-352S-22-005,Module B,52S1B01LSA03,Describe Staff Operations,,Rowe Rm 150B,CW3 Kopas,OCP,0.083333333,DSL
3,,0.520833333,0.5625,3B-352S-22-005,Admin,Lunch,,,,,,0.041666667,
3,,0.5625,0.645833333,3B-352S-22-005,Module B,52S1B01LSA04,Discuss Military Writing in Staff Documents,,Rowe Rm 150B,CW3 Kopas,OCP,0.083333333,DSL
3,,0.645833333,0.666666667,3B-352S-22-005,Module B,52S1B01LSA05,Practical Exercise - Write a Signal Survey Team Mission Statement,,Rowe Rm 150B,CW3 Kopas,OCP,0.020833333,PE
3,,0.666666667,0.708333333,3B-352S-22-005,Module B,52S1B01LSA10,Describe the USSID Process,,Rowe Rm 150B,CW3 Kopas,OCP,0.041666667,DSL
3,,0.708333333,0.729166667,3B-352S-22-005,Module B,52S1B01LSAINTRO,Write Personal Introduction Information Paper,Assignment Due by Midnight,Rowe Rm 150B,CW3 Kopas,OCP,0.020833333,PE
4,,0.354166667,0.4375,3B-352S-22-005,Module B,52S1B01LSA11,Identify Assigned USSIDS,Assignment Due,Rowe Rm 150B,CW3 Kopas,OCP,0.083333333,PE
4,,0.4375,0.479166667,3B-352S-22-005,Module B,52S1B01LSA09,VUport - Introduction to GATEKEEPER (TOOL1200),Assignment Due,Rowe Rm 150B,CW3 Kopas,OCP,0.041666667,IMI
4,,0.479166667,0.520833333,3B-352S-22-005,Module B,52S1B01LSA09,VUport - Classification Basics (CLAS1000),Assignment Due,Rowe Rm 150B,CW3 Kopas,OCP,0.041666667,IMI
4,,0.520833333,0.5625,3B-352S-22-005,Admin,Lunch,,,,,,0.041666667,
4,,0.5625,0.645833333,3B-352S-22-005,Module B,52S1B01LSA09,VUport - Classification and Marking Mechanics (CLAS1500),Assignment Due,Rowe Rm 150B,CW3 Kopas,OCP,0.083333333,IMI
4,,0.645833333,0.6875,3B-352S-22-005,Module B,52S1B01LSA09,VUport - Intelligence Oversight Training (OVSC1000),Assignment Due,Rowe Rm 150B,CW3 Kopas,OCP,0.041666667,IMI
4,,0.6875,0.729166667,3B-352S-22-005,Module B,52S1B01LSA09,VUport - Overview of Signals Intelligence Authorities (OVSC1100),Assignment Due,Rowe Rm 150B,CW3 Kopas,OCP,0.041666667,IMI
5,,0.354166667,0.395833333,3B-352S-22-005,Module B,52S1B01LSA09,VUport - Intermediate Classification Principles (CLAS2000),Assignment Due,Rowe Rm 150B,CW3 Kopas,OCP,0.041666667,IMI
5,,0.395833333,0.520833333,3B-352S-22-005,Module B,52S1B01LSA09,VUport - USSID 18 (OVSC1800),Assignment Due,Rowe Rm 150B,CW3 Kopas,OCP,0.125,IMI
5,,0.520833333,0.5625,3B-352S-22-005,Admin,Lunch,,,,,,0.041666667,
5,,0.5625,0.645833333,3B-352S-22-005,Module B,52S1B01LSA09,VUport - GCHQ Operational Legalities for Five Eyes Partners (OVSC1701),Assignment Due,Rowe Rm 150B,CW3 Kopas,OCP,0.083333333,IMI
5,,0.645833333,0.729166667,3B-352S-22-005,Module B,52S1B01LSA09,VUport - Intelligence Oversight Officer (IOO) Training (OVSC2201),Assignment Due,Rowe Rm 150B,CW3 Kopas,OCP,0.083333333,IMI
6,,0.354166667,0.4375,3B-352S-22-005,Module B,52S1B01LSA09,VUport - NSA Raw Traffic Database Auditor Training (OVSC3101),Assignment Due,Rowe Rm 150B,CW3 Kopas,OCP,0.083333333,IMI
6,,0.4375,0.520833333,3B-352S-22-005,Module B,52S1B01LSA12,Discuss National SIGINT Databases,,Rowe Rm 150B,CW3 Kopas,OCP,0.083333333,DSL
6,,0.520833333,0.5625,3B-352S-22-005,Admin,Lunch,,,,,,0.041666667,
6,,0.5625,0.625,3B-352S-22-005,Module B,52S1B01LSA13,Identify Relevant National SIGINT Databases,Assignment Due,Rowe Rm 150B,CW3 Kopas,OCP,0.0625,PE
7,,0.291666667,0.354166667,3B-352S-22-005,Module B,52S1B05LSA01,ACO / ATCAE Brief,Guest Speaker,Rowe Rm 150B,CW3 Kopas,OCP,0.0625,SE
7,,0.354166667,0.395833333,3B-352S-22-005,Module B,52S1B01LSA14,Describe the SIGINT Site Profile Creation Process,,Rowe Rm 150B,CW3 Kopas,OCP,0.041666667,DSL
7,,0.395833333,0.479166667,3B-352S-22-005,Module B,52S1B01LSA15,Create a SIGINT Site Profile,Assignment Due,Rowe Rm 150B,CW3 Kopas,OCP,0.083333333,PE
7,,0.520833333,0.5625,3B-352S-22-005,Admin,Lunch,,,,,,0.041666667,
7,,0.520833333,0.6875,3B-352S-22-005,Module B,52S1B01LSA16,Write a Signal of Interest Executive Summary (EXSUM),,Rowe Rm 150B,CW3 Kopas,OCP,0.166666667,TE
7,,0.6875,0.708333333,3B-352S-22-005,Module B,52S1B01LSA17,Prepare Signal of Interest Brief #1,,Rowe Rm 150B,CW3 Kopas,OCP,0.020833333,IN
8,,0.34375,0.46875,3B-352S-22-005,Module B,52S1B02LSA18,Discover Operational ELINT (OPELINT),,Rowe Hall Rm 150,,,0.125,DSL
8,,0.46875,0.520833333,3B-352S-22-005,Module B,52S1B02LSA18,Demonstrate the OPELINT Process (CED PE),,Rowe Hall Rm 150,,,0.052083333,PE
8,,0.520833333,0.5625,3B-352S-22-005,Admin,Lunch,,,,,,0.041666667,
8,,0.541666667,0.583333333,3B-352S-22-005,Module B,52S1B02LSA19,Discover Technical Electronic Intelligence (TechELINT) and Electromagnetic Interference (EMI),Guest Speaker,Rowe Hall Rm 150,,,0.041666667,SE
8,,0.583333333,0.625,3B-352S-22-005,Module B,52S1B02LSA17,Discover Foreign Instrumentation Signals Intelligence (FISINT),Guest Speaker,Rowe Rm 150B,CW3 Kopas,OCP,0.041666667,SE
8,,0.625,0.729166667,3B-352S-22-005,Module B,52S1B02LSA18,Conduct ELINT OPS with FADE/MIST Software,,Rowe Hall Rm 150,,,0.104166667,SE
9,,0.34375,0.5,3B-352S-22-005,Module B,52S1B02LSA18,Conduct ELINT OPS with FADE/MIST Software,,Rowe Hall Rm 150,,,0.15625,SE
9,,0.5,0.541666667,3B-352S-22-005,Admin,Lunch,,,,,,0.041666667,
9,,0.541666667,0.71875,3B-352S-22-005,Module B,52S1B02LSA18,Conduct ELINT OPS with FADE/MIST Software,,Rowe Hall Rm 150,,,0.177083333,SE
10,,0.354166667,0.5,3B-352S-22-005,Module B,52S1B02LSA18,Demonstrate FADE/MIST Techniques,,Rowe Hall Rm 150,,,0.145833333,PE
10,,0.5,0.541666667,3B-352S-22-005,Admin,Lunch,,,,,,0.041666667,
10,,0.541666667,0.729166667,3B-352S-22-005,Module B,52S1B01LSA16,Write a Signal of Interest Executive Summary (EXSUM),Assignment Due,Rowe Rm 150B,CW3 Kopas,OCP,0.1875,TE
11,,0.354166667,0.520833333,3B-352S-22-005,Module B,52S1B01LSA17,Prepare Signal of Interest Brief #1,,Rowe Rm 150B,CW3 Kopas,OCP,0.166666667,IN
11,,0.520833333,0.5625,3B-352S-22-005,Admin,Lunch,,,,,,0.041666667,
11,,0.5625,0.729166667,3B-352S-22-005,Module B,52S1B01LSA17,Prepare Signal of Interest Brief #1,,Rowe Rm 150B,CW3 Kopas,OCP,0.166666667,IN
12,,0.354166667,0.395833333,3B-352S-22-005,Module B,52S1B02LSA06,Discuss Trojan Soldier Portable Remote Intelligence Group (TSPRING) Employment,MIB-T Guest Speaker,Rowe Rm 150B,CW3 Kopas,OCP,0.041666667,
12,,0.395833333,0.479166667,3B-352S-22-005,Module B,52S1B01LSA17,Prepare Signal of Interest Brief #1,,Rowe Rm 150B,CW3 Kopas,OCP,0.083333333,IN
12,,0.479166667,0.5,3B-352S-22-005,Module B,52S1B01LSA18,Deliver Signal of Interest Brief #1,Assignment Due,Rowe Rm 150B,CW3 Kopas,OCP,0.020833333,TE
12,,0.5,0.510416667,3B-352S-22-005,Module B,52S1B01SUM,TLO Summary,,Rowe Rm 150B,CW3 Kopas,OCP,0.010416667,DSL
12,,0.510416667,0.520833333,3B-352S-22-005,Module B,52S1B02INTRO,TLO Introduction,,Rowe Rm 150B,CW3 Kopas,OCP,0.010416667,DSL
12,,0.520833333,0.5625,3B-352S-22-005,Admin,Lunch,,,,,,0.041666667,
12,,0.5625,0.604166667,3B-352S-22-005,Module B,52S1B02LSA09,Discuss Property Accountability,,Rowe Rm 150B,CW3 Kopas,OCP,0.041666667,DSL
12,,0.604166667,0.645833333,3B-352S-22-005,Module B,52S1B02LSA07,Discuss the Asset Site Selection Process,,Rowe Rm 150B,CW3 Kopas,OCP,0.041666667,DSL
12,,0.645833333,0.729166667,3B-352S-22-005,Module B,52S1B02LSA08,Conduct Site Selection,Assignment Due,Rowe Rm 150B,CW3 Kopas,OCP,0.083333333,PPN
13,,0.354166667,0.5,3B-352S-22-005,Module B,52S1B03LSA01,Discuss SIGINT Collection Management,,Rowe Hall Rm 234,CW3 Denham / CW3 Olivares  ,,0.145833333,DSL
13,,0.5,0.541666667,3B-352S-22-005,Admin,Lunch,,,Rowe Hall Rm 234,CW3 Denham / CW3 Olivares  ,,0.041666667,
13,,0.541666667,0.708333333,3B-352S-22-005,Module B,52S1B02LSA01,Describe the National SIGINT Requirements Process,,Rowe Hall Rm 234,CW3 Denham / CW3 Olivares  ,,0.166666667,DSL
14,,0.354166667,0.416666667,3B-352S-22-005,Module B,52S1B02LSA03,Develop Priority Intelligence Requirements,,Rowe Hall Rm 234,CW3 Denham / CW3 Olivares  ,,0.0625,DSL
14,,0.416666667,0.5,3B-352S-22-005,Module B,52S1B03LSA01,Describe Annex L,,Rowe Hall Rm 234,CW3 Denham / CW3 Olivares  ,,0.083333333,DSL
14,,0.5,0.541666667,3B-352S-22-005,Admin,Lunch,,,Rowe Hall Rm 234,CW3 Denham / CW3 Olivares  ,,0.041666667,
14,,0.541666667,0.708333333,3B-352S-22-005,Module B,52S1B03LSA01,Describe SIGINT Annex L Products,,Rowe Hall Rm 234,CW3 Denham / CW3 Olivares  ,,0.166666667,DSL
15,,0.354166667,0.4375,3B-352S-22-005,Module B,52S1B04LSA03,Describe the Targeting Process,,Rowe Hall Rm 234,CW3 Denham / CW3 Olivares  ,,0.083333333,DSL
15,,0.4375,0.5,3B-352S-22-005,Module B,52S1B04LSA03,Develop Signals of Interest for Targeting,,Rowe Hall Rm 234,CW3 Denham / CW3 Olivares  ,,0.0625,DSL
15,,0.5,0.541666667,3B-352S-22-005,Admin,Lunch,,,Rowe Hall Rm 234,CW3 Denham / CW3 Olivares  ,,0.041666667,
15,,0.541666667,0.729166667,3B-352S-22-005,Module B,52S1B04LSA03,Describe the Targeting Process,,Rowe Hall Rm 234,CW3 Denham / CW3 Olivares  ,,0.1875,DSL
16,,0.354166667,0.395833333,3B-352S-22-005,Module B,52S1B02LSA11,Discover Army Capability Manager - Aerial,,Rowe Hall 352N CR,,,0.041666667,DSL
16,,0.395833333,0.4375,3B-352S-22-005,Module B,52S1B02LSA12,Discover Army Capability Manager - Terrestrial,,Rowe Hall 352N CR / JITC Lab,,,0.041666667,DSL
16,,0.479166667,0.520833333,3B-352S-22-005,Module B,52S1B02LSA14,Discover TROJAN Capabilities,,Rowe Hall Backpad,,,0.041666667,FT
16,,0.520833333,0.5625,3B-352S-22-005,Module B,Lunch,,,,,,0.041666667,
16,,0.5625,0.604166667,3B-352S-22-005,Module B,52S1B02LSA01,Describe the National SIGINT Requirements Process (NSRP),,Rowe Rm 150B,CW3 Kopas,OCP,0.041666667,DSL
16,,0.604166667,0.6875,3B-352S-22-005,Module B,52S1B02LSA02,Identify SIGINT Information Needs Using NSRP,Assignment Due,Rowe Rm 150B,CW3 Kopas,OCP,0.083333333,PE
16,,0.6875,0.697916667,3B-352S-22-005,Module B,52S1B02SUM,TLO Summary,,Rowe Rm 150B,CW3 Kopas,OCP,0.010416667,DSL
16,,0.697916667,0.708333333,3B-352S-22-005,Module B,52S1B03INTRO,TLO Introduction,,Rowe Rm 150B,CW3 Kopas,OCP,0.010416667,DSL
17,,0.354166667,0.5,3B-352S-22-005,Module B,52S1B03LSA01,Discuss the Collection Management Process,,Rowe Rm 150B,CW3 Kopas,OCP,0.145833333,DSL
17,,0.5,0.541666667,3B-352S-22-005,Admin,Lunch,,,,,,0.041666667,
17,,0.541666667,0.604166667,3B-352S-22-005,Module B,52S1B03LSA02,NSA and Foreign Partnerships,,Rowe Rm 150B,CW3 Kopas,OCP,0.0625,DSL
17,,0.604166667,0.645833333,3B-352S-22-005,Module B,52S1B03LSA03,Discover the USSID 109 Waiver Request Process,,Rowe Rm 150B,CW3 Kopas,OCP,0.041666667,DSL
17,,0.645833333,0.729166667,3B-352S-22-005,Module B,52S1B03LSA04,Draft a USSID 109 Waiver Request,Assignment Due,Rowe Rm 150B,CW3 Kopas,OCP,0.083333333,PE
18,,0.354166667,0.395833333,3B-352S-22-005,Module B,52S1B03LSA06,Discuss Memorandum of Agreement/Memorandum of Understanding (MOA/MOU),,Rowe Rm 150B,CW3 Kopas,OCP,0.041666667,DSL
18,,0.395833333,0.520833333,3B-352S-22-005,Module B,52S1B03LSA07,Write an NSA Memorandum of Agreement or Memorandum of Understanding (MOA/MOU),Assign Task,Rowe Rm 150B,CW3 Kopas,OCP,0.125,TE
18,,0.520833333,0.5625,3B-352S-22-005,Module B,Lunch,,,,,,0.041666667,
18,,0.5625,0.6875,3B-352S-22-005,Module B,52S1B03LSA07,Write an NSA Memorandum of Agreement or Memorandum of Understanding (MOA/MOU),Assignment Due,Rowe Rm 150B,CW3 Kopas,OCP,0.125,TE
18,,0.6875,0.729166667,3B-352S-22-005,Module B,52S1B03LSA08,Prepare Coordinate External Support for Signal Survey Brief #2,Assign Task,Rowe Rm 150B,CW3 Kopas,OCP,0.041666667,IN
19,,0.354166667,0.520833333,3B-352S-22-005,Module B,52S1B03LSA08,Prepare Coordinate External Support for Signal Survey Brief #2,,Rowe Rm 150B,CW3 Kopas,OCP,0.166666667,IN
19,,0.520833333,0.541666667,3B-352S-22-005,Module B,Lunch,,,,,,0.020833333,
19,,0.5625,0.729166667,3B-352S-22-005,Module B,52S1B03LSA08,Prepare Coordinate External Support for Signal Survey Brief #2,,Rowe Rm 150B,CW3 Kopas,OCP,0.166666667,IN
20,,0.354166667,0.4375,3B-352S-22-005,Module B,52S1B03LSA08,Prepare Coordinate External Support for Signal Survey Brief #2,,Rowe Rm 150B,CW3 Kopas,OCP,0.083333333,IN
20,,0.4375,0.5,3B-352S-22-005,Module B,52S1B04LSA03,Discuss SIGINT Support to Targeting,,Rowe Rm 150B,CW3 Kopas,OCP,0.0625,SE
20,,0.5,0.541666667,3B-352S-22-005,Module B,Lunch,,,,,,0.041666667,
20,,0.541666667,0.708333333,3B-352S-22-005,Module B,52S1B03LSA08,Prepare Coordinate External Support for Signal Survey Brief #2,,Rowe Rm 150B,CW3 Kopas,OCP,0.166666667,IN
21,,0.354166667,0.520833333,3B-352S-22-005,Module B,52S1B03LSA08,Prepare Coordinate External Support for Signal Survey Brief #2,,Rowe Rm 150B,CW3 Kopas,OCP,0.166666667,IN
21,,0.520833333,0.5625,3B-352S-22-005,Module B,Lunch,,,,,,0.041666667,
